Segmento,Estado,Regiao,IDSubcategoriaProduto,QuantidadeItens,Data,Pais,Nome Estado
Clube de Tênis,BA,Nordeste,201,4,"Monday, August 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,202,4,"Monday, August 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,204,4,"Monday, August 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,201,4,"Thursday, September 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,202,4,"Thursday, September 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,204,4,"Thursday, September 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,202,4,"Saturday, October 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,204,4,"Saturday, October 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,201,4,"Saturday, October 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,401,4,"Tuesday, November 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,402,4,"Tuesday, November 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,201,4,"Tuesday, November 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,402,4,"Thursday, December 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,201,4,"Thursday, December 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,401,4,"Thursday, December 1, 2022",Brazil,Bahia
Clube de Tênis,BA,Nordeste,401,4,"Sunday, January 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,402,4,"Sunday, January 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,201,4,"Sunday, January 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,403,4,"Wednesday, February 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,203,4,"Wednesday, February 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,603,4,"Wednesday, February 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,604,4,"Wednesday, February 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,301,4,"Wednesday, February 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,301,4,"Wednesday, March 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,603,4,"Wednesday, March 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,604,4,"Wednesday, March 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,203,4,"Wednesday, March 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,403,4,"Wednesday, March 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,604,4,"Saturday, April 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,403,4,"Saturday, April 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,203,4,"Saturday, April 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,301,4,"Saturday, April 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,603,4,"Saturday, April 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,603,4,"Monday, May 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,401,4,"Monday, May 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,402,4,"Monday, May 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,201,4,"Monday, May 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,202,4,"Monday, May 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,603,4,"Thursday, June 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,401,4,"Thursday, June 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,402,4,"Thursday, June 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,201,4,"Thursday, June 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,202,4,"Thursday, June 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,603,4,"Saturday, July 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,201,4,"Saturday, July 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,202,4,"Saturday, July 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,401,4,"Saturday, July 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,402,4,"Saturday, July 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,401,4,"Tuesday, August 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,201,4,"Tuesday, August 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,202,4,"Tuesday, August 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,401,4,"Friday, September 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,201,4,"Friday, September 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,202,4,"Friday, September 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,201,4,"Sunday, October 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,202,4,"Sunday, October 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,401,4,"Sunday, October 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,201,4,"Wednesday, November 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,202,4,"Wednesday, November 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,204,4,"Wednesday, November 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,401,4,"Wednesday, November 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,402,4,"Wednesday, November 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,301,4,"Wednesday, November 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,801,4,"Wednesday, November 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,801,4,"Friday, December 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,301,4,"Friday, December 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,401,4,"Friday, December 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,402,4,"Friday, December 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,201,4,"Friday, December 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,202,4,"Friday, December 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,204,4,"Friday, December 1, 2023",Brazil,Bahia
Clube de Tênis,BA,Nordeste,201,4,"Monday, January 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,202,4,"Monday, January 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,204,4,"Monday, January 1, 2024",Brazil,Bahia
Clube de Tênis,BA,Nordeste,401,4,"Monday, January 1, 2024",Brazil,Bahia
